Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,SRADV.H-1 (watt) ,RHUMV.H-1 (pct) ,RHUMX.H-1 (pct) 
674,1/1/16,0:00,6,5.7,-18,17,16.9,22.8,0.1,1.1,3.7,0.2,0.2,0.1,10.34,10.27,13.2,12.77,13.39,3.32,56,4.3,3.3,0,86,88
674,1/1/16,1:00,6,5.7,-17.5,17,16.9,22.8,0,1.1,3.7,0.2,0.2,0.1,10.35,10.27,13.22,12.73,13.36,-99.9,59,4.9,3.8,0,86,89
674,1/1/16,2:00,6,5.7,-18.3,16.9,16.8,23,0,1.1,3.7,0.2,0.2,0.1,10.28,10.24,13.29,12.72,13.33,-99.9,57,5.2,4,0,86,88
674,1/1/16,3:00,6,5.7,-15.6,16.9,16.7,23.1,0,1.1,3.7,0.2,0.2,0.1,10.3,10.18,13.33,12.71,13.31,-99.9,62,6.7,4.7,0,87,89
674,1/1/16,4:00,6,5.7,-15.1,16.7,16.8,22.8,0,1,3.7,0.2,0.2,0.1,10.19,10.2,13.21,12.69,13.28,-99.9,81,6.3,5.2,0,87,89
674,1/1/16,5:00,5.9,5.7,-16.9,16.7,16.8,23,-0.1,1,3.7,0.2,0.2,0.1,10.18,10.23,13.29,12.62,13.26,-99.9,63,5.8,2.8,0,86,87
674,1/1/16,6:00,6,5.7,-18,16.5,16.8,22.8,-0.1,1,3.7,0.2,0.2,0.1,10.12,10.21,13.17,12.69,13.23,-99.9,97,3.1,1.8,0,85,87
674,1/1/16,7:00,6,5.7,-18.3,16.4,16.5,22.9,-0.1,1,3.7,0.2,0.2,0.1,10.07,10.1,13.26,12.67,13.21,-99.9,105,4.1,2.9,0,84,86
674,1/1/16,8:00,6,5.7,-18.1,16.3,16.9,22.8,-0.1,1,3.7,0.2,0.2,0.1,10.04,10.26,13.22,12.85,14.3,-99.9,74,4.7,3.2,50.98,85,86
674,1/1/16,9:00,6,5.7,-13.1,16.4,16.7,22.8,-0.1,1,3.7,0.2,0.2,0.1,10.05,10.17,13.21,14.35,14.68,-99.9,79,5.4,3,226.8,84,86
674,1/1/16,10:00,5.9,5.7,-11.6,16.3,16.8,22.8,-0.1,1,3.7,0.2,0.2,0.1,10.02,10.22,13.18,14.32,14.63,-99.9,116,9.4,5.7,351.95,78,83
674,1/1/16,11:00,5.9,5.7,-10.5,16,16.6,22.7,-0.2,1,3.7,0.2,0.2,0.1,9.88,10.14,13.15,14.3,14.62,-99.9,104,7.3,5,446.58,66,74
674,1/1/16,12:00,5.9,5.7,-8.3,15.9,16.8,22.6,-0.2,1,3.7,0.2,0.2,0.1,9.85,10.22,13.1,14.27,14.58,-99.9,67,6.2,3.8,482.91,51,55
674,1/1/16,13:00,6.3,5.8,-3,15.9,16.4,22.7,-0.2,1,3.7,0.2,0.2,0.1,9.85,10.05,13.11,14.24,14.51,-99.9,79,3.8,2,455.74,48,51
674,1/1/16,14:00,6.3,5.8,-4.2,15.8,16.7,22.6,-0.2,0.9,3.6,0.2,0.2,0.1,9.8,10.17,13.11,14.2,14.5,-99.9,192,4.7,2.5,379.43,52,60
674,1/1/16,15:00,6.3,5.8,-7.2,16,16.4,22.6,-0.2,0.9,3.7,0.2,0.2,0.1,9.87,10.05,13.09,14.18,14.49,-99.9,200,6,3.1,255.8,56,64
674,1/1/16,16:00,6.3,5.7,-8.3,15.9,16.7,22.6,-0.2,0.9,3.7,0.2,0.2,0.1,9.82,10.19,13.06,14.18,14.56,-99.9,196,6,2.3,93.1,63,66
674,1/1/16,17:00,6.3,5.7,-16.4,15.8,16.3,22.9,-0.2,0.9,3.6,0.2,0.2,0.1,9.8,10,13.22,13.25,13.78,-99.9,46,5,3.2,3.97,77,85
674,1/1/16,18:00,6.3,5.7,-17.6,15.9,16.6,22.9,-0.2,0.9,3.6,0.2,0.2,0.1,9.82,10.12,13.22,13.1,13.7,-99.9,56,5.1,3,0,85,88
