
Idaho (PST) SNOTEL Site Wilson Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 27 08:33:48 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
871,2014-01-01,00:00,     3.5,     5.8,    -0.7,      15,     3.3,    18.9,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.91,   11.26,    7.48,   12.71,   13.00,
871,2014-01-01,01:00,     3.5,     5.8,    -2.0,      16,     3.2,    18.8,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.91,   11.22,    7.48,   12.60,   12.99,
871,2014-01-01,02:00,     3.5,     5.8,    -2.5,      16,     2.8,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.76,   11.14,    7.45,   12.65,   12.97,
871,2014-01-01,03:00,     3.5,     5.8,    -2.4,      17,     2.7,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.71,   11.17,    7.40,   12.66,   12.96,
871,2014-01-01,04:00,     3.5,     5.8,    -1.2,      15,     2.8,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.76,   11.17,    7.40,   12.64,   12.95,
871,2014-01-01,05:00,     3.5,     5.8,    -0.6,      15,     3.1,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.87,   11.17,    7.40,   12.59,   12.94,
871,2014-01-01,06:00,     3.5,     5.8,    -0.8,      15,     3.2,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.91,   11.17,    7.49,   12.62,   12.94,
871,2014-01-01,07:00,     3.5,     5.8,    -1.0,      15,     3.0,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.82,   11.17,    7.40,   12.60,   12.93,
871,2014-01-01,08:00,     3.5,     5.8,    -0.2,      15,     3.1,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.87,   11.17,    7.45,   13.04,   12.92,
871,2014-01-01,09:00,     3.5,     5.8,     0.2,      15,     3.7,    18.8,    10.1,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.07,   11.21,    7.40,   14.09,   12.92,
871,2014-01-01,10:00,     3.5,     5.9,     1.5,      15,     4.0,    18.6,    10.2,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.17,   11.13,    7.45,   14.07,   12.91,
871,2014-01-01,11:00,     3.5,     5.9,     2.3,      32,     4.7,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.42,   11.16,    7.45,   14.03,   12.91,
871,2014-01-01,12:00,     3.6,     5.9,     3.1,      14,     5.1,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.56,   11.16,    7.48,   13.98,   12.91,
871,2014-01-01,13:00,     3.6,     5.8,     3.0,      38,     4.6,    18.8,    10.3,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.37,   11.20,    7.48,   13.97,   14.82,
871,2014-01-01,14:00,     3.6,     5.8,     2.4,      35,     4.2,    18.8,    10.1,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.23,   11.20,    7.40,   13.98,   14.97,
871,2014-01-01,15:00,     3.6,     5.8,     1.6,      32,     3.9,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.13,   11.15,    7.48,   13.98,   14.73,
871,2014-01-01,16:00,     3.6,     5.8,    -0.1,      19,     3.4,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.97,   11.16,    7.40,   13.55,   13.39,
871,2014-01-01,17:00,     3.5,     5.7,    -0.3,      31,     3.1,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.86,   11.16,    7.40,   12.80,   13.16,
871,2014-01-01,18:00,     3.5,     5.8,    -1.4,      37,     2.8,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.77,   11.16,    7.45,   12.81,   13.12,
871,2014-01-01,19:00,     3.4,     5.7,    -2.2,      19,     2.4,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.49,   12.80,   13.08,
871,2014-01-01,20:00,     3.5,     5.7,    -2.5,      16,     2.4,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.44,   12.76,   13.05,
871,2014-01-01,21:00,     3.4,     5.7,    -2.7,      18,     2.4,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.49,   12.76,   13.04,
871,2014-01-01,22:00,     3.4,     5.7,    -2.3,      17,     2.4,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.49,   12.75,   13.02,
871,2014-01-01,23:00,     3.4,     5.7,    -0.9,      15,     2.8,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.77,   11.16,    7.49,   12.74,   13.00,
871,2014-01-02,00:00,     3.5,     5.8,    -2.5,      16,     2.4,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.45,   12.72,   13.00,
871,2014-01-02,01:00,     3.4,     5.7,    -2.3,      16,     2.2,    18.8,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.57,   11.20,    7.48,   12.68,   12.99,
871,2014-01-02,02:00,     3.4,     5.7,    -1.9,      16,     2.2,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.57,   11.16,    7.48,   12.66,   12.97,
871,2014-01-02,03:00,     3.4,     5.7,    -2.2,      16,     2.2,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.57,   11.16,    7.40,   12.67,   12.96,
871,2014-01-02,04:00,     3.4,     5.7,    -2.7,      16,     2.4,    18.8,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.63,   11.18,    7.44,   12.64,   12.95,
871,2014-01-02,05:00,     3.4,     5.7,    -3.2,      16,     2.4,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.62,   11.16,    7.44,   12.59,   12.94,
871,2014-01-02,06:00,     3.4,     5.7,    -3.7,      16,     1.9,    18.8,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.46,   11.18,    7.40,   12.64,   12.93,
871,2014-01-02,07:00,     3.4,     5.7,    -3.2,      15,     2.2,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.56,   11.16,    7.40,   12.63,   12.93,
871,2014-01-02,08:00,     3.4,     5.7,    -1.6,      15,     2.2,    18.8,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.56,   11.18,    7.40,   13.25,   12.93,
871,2014-01-02,09:00,     3.4,     5.7,     0.0,      15,     3.3,    18.6,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.93,   11.11,    7.40,   14.16,   12.91,
871,2014-01-02,10:00,     3.5,     5.9,     2.6,      16,     4.3,    18.7,    10.0,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.28,   11.15,    7.35,   14.11,   12.91,
871,2014-01-02,11:00,     3.5,     5.9,     3.9,      31,     5.0,    18.7,    10.4,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.52,   11.14,    7.51,   14.05,   12.91,
871,2014-01-02,12:00,     3.6,     5.8,     5.9,      26,     5.5,    18.6,    10.2,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.70,   11.10,    7.43,   14.00,   12.91,
871,2014-01-02,13:00,     3.6,     5.8,     5.4,      30,     4.9,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.50,   11.14,    7.43,   13.98,   14.81,
871,2014-01-02,14:00,     3.5,     5.8,     3.8,      27,     4.5,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.36,   11.14,    7.39,   13.98,   14.82,
871,2014-01-02,15:00,     3.6,     5.8,     3.3,      15,     4.2,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.26,   11.14,    7.43,   13.99,   14.72,
871,2014-01-02,16:00,     3.5,     5.8,     1.4,      16,     3.7,    18.7,    10.3,    -1.1,    -0.4,     0.4,     0.2,     0.2,     0.2,    5.06,   11.18,    7.48,   13.52,   13.40,
871,2014-01-02,17:00,     3.5,     5.8,    -0.3,      17,     3.1,    18.6,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.85,   11.11,    7.44,   12.87,   13.17,
871,2014-01-02,18:00,     3.5,     5.8,    -1.1,      18,     2.3,    18.7,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.60,   11.15,    7.40,   12.83,   13.12,
871,2014-01-02,19:00,     3.4,     5.7,    -1.2,      16,     2.2,    18.7,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.55,   11.15,    7.44,   12.81,   13.08,
871,2014-01-02,20:00,     3.4,     5.7,    -1.4,      16,     2.6,    18.6,    10.2,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.70,   11.11,    7.44,   12.80,   13.05,
871,2014-01-02,21:00,     3.4,     5.7,    -1.8,      15,     2.2,    18.6,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.55,   11.11,    7.40,   12.75,   13.04,
871,2014-01-02,22:00,     3.4,     5.7,    -1.7,      14,     2.5,    18.6,    10.1,    -1.1,    -0.4,     0.4,     0.3,     0.2,     0.2,    4.65,   11.11,    7.40,   12.74,   13.02,
