,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1,5.2,1.45E-01,-3.18E+00,2.84E-02,-6.81E-01,1.15E-01,-7.07E-02,6.19E-02,-1.28E+00
2,5.1,9.75E-02,-3.19E+00,-1.40E-01,-6.78E-01,1.08E-01,-7.12E-02,2.87E-02,-1.36E+00
3,5.4,1.39E-01,-3.19E+00,-2.49E-01,-6.69E-01,1.12E-01,-7.24E-02,3.19E-02,-1.43E+00
4,5.4,1.17E-01,-3.16E+00,-2.54E-01,-6.58E-01,1.12E-01,-7.28E-02,3.24E-02,-1.40E+00
5,5.4,1.23E-01,-3.17E+00,-3.08E-01,-6.45E-01,1.14E-01,-7.37E-02,3.52E-02,-1.42E+00
6,5.3,8.72E-02,-3.12E+00,-3.47E-01,-6.46E-01,1.24E-01,-7.64E-02,7.33E-02,-1.45E+00
7,5.2,5.03E-02,-3.12E+00,-3.28E-01,-6.29E-01,1.17E-01,-7.82E-02,3.56E-02,-1.41E+00
8,5.4,9.28E-02,-3.10E+00,-3.83E-01,-6.30E-01,1.24E-01,-7.72E-02,7.50E-02,-1.41E+00
9,5.4,6.57E-02,-2.88E+00,1.25E+00,-6.74E-01,8.30E-02,-5.79E-02,3.28E-02,-1.46E-01
10,5,-1.17E-01,-2.87E+00,1.32E+00,-6.71E-01,1.10E-01,-8.40E-02,-1.30E-02,-1.45E-01
11,4.9,-1.84E-01,-2.84E+00,1.29E+00,-6.51E-01,1.75E-01,-1.24E-01,1.42E-02,-2.11E-01
12,5.1,-3.79E-01,-2.86E+00,1.35E+00,-7.53E-01,5.61E+00,-4.10E+00,-1.61E+00,-2.50E-02
13,5.2,-3.45E-01,-2.78E+00,1.23E+00,-6.22E-01,4.14E-01,-3.02E-01,-8.92E-02,-2.86E-01
14,5,-2.99E-01,-3.33E+00,3.02E+00,-1.15E+00,2.06E-01,-1.28E-01,-1.24E-01,-1.43E+00
15,5,-2.64E-01,-3.37E+00,2.99E+00,-1.14E+00,2.64E-01,-1.70E-01,-1.36E-01,-1.44E+00
16,4.9,-2.15E-01,-3.16E+00,2.35E+00,-9.42E-01,1.42E-01,-9.04E-02,-6.93E-02,-1.03E+00
17,5.3,-8.38E-02,-2.96E+00,1.60E+00,-8.15E-01,7.88E-02,-4.72E-02,1.10E-02,-7.96E-01
18,5.6,-2.97E-02,-3.01E+00,9.40E-01,-7.35E-01,8.53E-02,-5.51E-02,-4.19E-03,-1.02E+00
19,5.3,-7.55E-02,-2.98E+00,7.34E-01,-6.95E-01,8.85E-02,-5.93E-02,4.33E-03,-1.04E+00
20,5,-2.35E-02,-3.03E+00,5.31E-01,-6.83E-01,9.22E-02,-6.29E-02,1.13E-02,-1.06E+00
21,5.2,-2.80E-02,-3.01E+00,3.42E-01,-6.67E-01,9.72E-02,-6.57E-02,1.74E-02,-1.15E+00
22,5,-1.89E-02,-3.04E+00,1.93E-01,-6.52E-01,9.97E-02,-6.80E-02,2.21E-02,-1.18E+00
23,5.3,1.86E-03,-3.04E+00,8.65E-02,-6.32E-01,1.08E-01,-7.28E-02,2.47E-02,-1.21E+00
24,5.1,-1.03E-01,-2.97E+00,5.79E-02,-6.09E-01,1.07E-01,-7.42E-02,2.71E-02,-1.21E+00
25,5.4,-2.65E-02,-3.02E+00,-8.04E-02,-5.98E-01,1.12E-01,-7.54E-02,3.08E-02,-1.26E+00
26,4.9,-2.74E-02,-3.06E+00,-2.93E-01,-5.97E-01,1.15E-01,-7.91E-02,3.75E-02,-1.36E+00
27,5.1,-8.22E-02,-3.00E+00,-2.89E-01,-5.70E-01,1.15E-01,-7.94E-02,3.86E-02,-1.32E+00
28,5.1,-6.78E-02,-3.00E+00,-3.31E-01,-5.67E-01,1.16E-01,-8.03E-02,4.03E-02,-1.32E+00
29,5.4,-5.35E-02,-2.99E+00,-3.78E-01,-5.51E-01,1.28E-01,-8.21E-02,7.86E-02,-1.32E+00
30,5,9.34E-03,-3.09E+00,-5.04E-01,-5.69E-01,1.34E-01,-8.74E-02,8.06E-02,-1.36E+00
31,5.3,2.79E-02,-3.09E+00,-5.18E-01,-5.48E-01,1.26E-01,-8.58E-02,4.50E-02,-1.35E+00
32,5.3,2.10E-02,-3.08E+00,-5.58E-01,-5.39E-01,1.28E-01,-8.66E-02,4.70E-02,-1.35E+00
33,5.1,-1.17E-02,-2.89E+00,1.09E+00,-6.01E-01,8.40E-02,-6.71E-02,3.06E-03,-5.15E-02
34,9.9,1.04E+00,-7.87E-02,7.16E-01,-9.69E-01,-6.65E-02,5.75E-03,-1.60E-01,1.05E+00
35,5,-2.07E-01,-2.76E+00,1.10E+00,-5.24E-01,8.70E-02,-7.14E-02,5.37E-03,-1.74E-02
36,5.3,-2.21E-01,-2.75E+00,1.04E+00,-5.04E-01,8.90E-02,-7.20E-02,7.63E-03,-3.23E-02
37,5.5,-1.88E-01,-2.75E+00,1.02E+00,-4.25E-01,9.72E-02,-7.70E-02,1.48E-02,-5.31E-02
38,5.2,-2.25E-01,-3.33E+00,2.99E+00,-1.07E+00,6.63E-02,-2.96E-02,-8.49E-02,-1.29E+00
39,4.9,-2.97E-01,-3.11E+00,2.23E+00,-8.60E-01,7.41E-02,-4.68E-02,-5.18E-02,-7.94E-01
40,5.2,-3.16E-01,-3.09E+00,2.34E+00,-9.05E-01,7.33E-02,-4.38E-02,-5.91E-02,-8.77E-01
41,4.7,-2.62E-01,-3.06E+00,1.41E+00,-7.17E-01,9.08E-02,-6.26E-02,-1.88E-02,-8.27E-01
42,5.3,-2.34E-01,-3.04E+00,9.46E-01,-6.40E-01,1.03E-01,-6.89E-02,-3.55E-03,-9.47E-01
43,5.3,-2.44E-01,-3.03E+00,6.77E-01,-5.98E-01,1.08E-01,-7.36E-02,6.49E-03,-9.93E-01
44,5.3,-2.74E-01,-3.02E+00,4.54E-01,-5.80E-01,1.18E-01,-8.03E-02,1.19E-02,-1.09E+00
45,5.3,-2.05E-01,-3.05E+00,2.92E-01,-5.57E-01,1.22E-01,-8.31E-02,1.81E-02,-1.11E+00
46,5.1,-2.16E-01,-3.08E+00,6.05E-02,-5.58E-01,1.26E-01,-8.64E-02,2.39E-02,-1.22E+00
47,5.3,-1.80E-01,-3.07E+00,1.69E-03,-5.30E-01,1.29E-01,-8.75E-02,2.75E-02,-1.21E+00
48,5.2,-2.53E-01,-3.09E+00,-8.76E-02,-5.03E-01,1.85E-01,-1.27E-01,2.08E-02,-1.29E+00
49,5.3,-2.19E-01,-3.08E+00,-1.95E-01,-5.47E-01,1.36E-01,-9.28E-02,2.82E-02,-1.24E+00
50,5.3,-1.95E-01,-3.08E+00,-3.93E-01,-5.36E-01,1.37E-01,-9.25E-02,3.57E-02,-1.36E+00
51,5.1,-1.50E-01,-3.14E+00,-3.77E-01,-4.92E-01,1.46E-01,-1.00E-01,3.82E-02,-1.28E+00
52,5.3,-2.95E-01,-2.99E+00,-3.59E-01,-4.49E-01,1.40E-01,-9.74E-02,4.07E-02,-1.28E+00
53,5,-3.73E-01,-2.94E+00,-3.41E-01,-4.32E-01,1.43E-01,-1.02E-01,4.07E-02,-1.24E+00
54,5.2,-3.80E-01,-2.99E+00,-4.22E-01,-4.19E-01,1.70E-01,-1.19E-01,3.71E-02,-1.28E+00
55,5.3,-3.29E-01,-3.01E+00,-4.38E-01,-4.24E-01,1.81E-01,-1.26E-01,3.59E-02,-1.28E+00
56,5.4,-2.03E-01,-3.10E+00,-5.33E-01,-4.35E-01,1.69E-01,-1.17E-01,4.07E-02,-1.27E+00
57,5,-2.51E-01,-3.04E+00,-1.06E-01,-4.47E-01,1.56E-01,-1.13E-01,3.04E-02,-9.00E-01
58,5.2,-3.34E-01,-2.83E+00,1.06E+00,-4.75E-01,1.11E-01,-8.76E-02,8.69E-04,3.82E-02
59,5.3,-5.72E-01,-3.03E+00,1.13E+00,-3.45E-01,-4.79E-02,4.19E-02,8.25E-02,-2.73E-01
60,5.3,-6.49E-01,-2.93E+00,1.06E+00,-3.96E-01,-7.12E-02,5.62E-02,7.99E-02,-2.42E-01
61,5.1,-6.52E-01,-2.95E+00,9.94E-01,-3.98E-01,-7.14E-02,5.50E-02,8.17E-02,-2.42E-01
62,5.7,-1.53E-01,-3.84E+00,3.08E+00,-9.40E-02,-5.81E-02,7.70E-02,7.50E-02,-1.46E+00
63,4.8,-5.99E-01,-3.64E+00,2.89E+00,-9.24E-01,-7.61E-02,8.55E-02,-7.05E-03,-1.50E+00
64,5.4,-5.13E-01,-3.39E+00,2.20E+00,-7.44E-01,-8.88E-02,8.74E-02,2.82E-02,-1.09E+00
65,5.3,-4.43E-01,-3.36E+00,1.39E+00,-6.00E-01,-7.89E-02,7.58E-02,6.06E-02,-1.00E+00
66,5.1,-2.90E-01,-3.17E+00,8.46E-01,-5.88E-01,1.82E-01,-1.25E-01,-1.51E-02,-9.25E-01
67,5.2,-2.39E-01,-3.16E+00,5.44E-01,-5.70E-01,1.39E-01,-9.52E-02,4.04E-03,-9.54E-01
68,5.3,-2.59E-01,-3.15E+00,2.55E-01,-5.27E-01,1.46E-01,-9.95E-02,1.37E-02,-1.06E+00
69,5.3,-2.46E-01,-3.15E+00,1.40E-01,-5.21E-01,1.48E-01,-1.02E-01,1.76E-02,-1.09E+00
70,5.1,-2.67E-01,-3.18E+00,-1.40E-02,-5.00E-01,1.55E-01,-1.07E-01,2.17E-02,-1.13E+00
71,5.1,-2.35E-01,-3.17E+00,-6.69E-02,-5.02E-01,1.62E-01,-1.12E-01,2.28E-02,-1.14E+00
72,5.2,-2.44E-01,-3.18E+00,-1.50E-01,-4.75E-01,1.69E-01,-1.16E-01,2.46E-02,-1.14E+00
73,5.3,-2.46E-01,-3.19E+00,-2.49E-01,-4.60E-01,1.71E-01,-1.18E-01,2.77E-02,-1.18E+00
74,5.2,-2.94E-01,-3.18E+00,-3.09E-01,-4.56E-01,1.76E-01,-1.22E-01,2.76E-02,-1.19E+00
75,5.4,-2.62E-01,-3.18E+00,-3.60E-01,-4.36E-01,1.88E-01,-1.30E-01,2.88E-02,-1.20E+00
76,5.4,-2.76E-01,-3.21E+00,-4.10E-01,-4.30E-01,1.92E-01,-1.33E-01,2.79E-02,-1.17E+00
77,5,-2.60E-01,-3.24E+00,-4.86E-01,-4.23E-01,2.03E-01,-1.42E-01,2.94E-02,-1.20E+00
78,5.1,-3.02E-01,-3.24E+00,-5.51E-01,-4.11E-01,2.18E-01,-1.53E-01,2.67E-02,-1.22E+00
79,5.2,-3.16E-01,-3.21E+00,-5.24E-01,-4.01E-01,2.32E-01,-1.63E-01,2.31E-02,-1.19E+00
80,5.4,-2.79E-01,-3.25E+00,-5.90E-01,-3.90E-01,2.39E-01,-1.67E-01,2.38E-02,-1.20E+00
81,5.2,-3.76E-01,-3.17E+00,-3.25E-01,-4.13E-01,2.48E-01,-1.77E-01,9.17E-03,-9.61E-01
82,5.4,-5.49E-01,-3.11E+00,1.09E+00,-3.66E-01,-1.24E-01,9.31E-02,8.95E-02,-3.93E-02
83,5.3,-5.50E-01,-3.00E+00,1.05E+00,-3.50E-01,-5.89E-01,4.30E-01,2.20E-01,-3.91E-03
84,5.3,-5.43E-01,-2.98E+00,1.01E+00,-3.61E-01,1.08E+00,-7.92E-01,-2.66E-01,8.27E-02
85,5.1,1.26E-01,-3.41E+00,1.19E+00,1.04E+00,-2.38E-01,1.75E-01,2.75E-01,3.06E-03
86,4.9,-5.81E-01,-3.57E+00,2.93E+00,-8.83E-01,-4.64E-01,3.62E-01,9.05E-02,-1.30E+00
87,5.2,-5.94E-01,-3.57E+00,2.92E+00,-8.36E-01,-2.96E-01,2.40E-01,4.72E-02,-1.30E+00
88,5.3,-5.31E-01,-3.38E+00,2.25E+00,-5.64E-01,-3.10E-01,2.43E-01,9.53E-02,-8.95E-01
