,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1,5.2,1.10E+00,-1.86E+00,-3.06E-01,-8.33E-03,1.95E-01,2.41E-01,5.61E-01,-4.34E-01
2,5.1,1.05E+00,-1.88E+00,-4.74E-01,-1.00E-02,1.92E-01,3.42E-01,4.44E-01,-4.73E-01
3,5.4,1.10E+00,-1.87E+00,-5.92E-01,-9.12E-03,2.37E-01,3.84E-01,4.79E-01,-4.38E-01
4,5.4,1.06E+00,-1.83E+00,-5.94E-01,-9.97E-03,2.24E-01,3.57E-01,4.10E-01,-4.67E-01
5,5.4,1.08E+00,-1.83E+00,-6.52E-01,-1.05E-02,2.26E-01,3.53E-01,4.51E-01,-4.59E-01
6,5.3,1.01E+00,-1.81E+00,-6.93E-01,-1.21E-02,1.99E-01,3.92E-01,3.20E-01,-5.12E-01
7,5.2,9.74E-01,-1.79E+00,-6.68E-01,-1.30E-02,1.79E-01,3.59E-01,2.77E-01,-5.36E-01
8,5.4,1.01E+00,-1.77E+00,-7.28E-01,-1.26E-02,2.04E-01,3.31E-01,3.19E-01,-5.11E-01
9,5.4,9.33E-01,-1.53E+00,9.74E-01,-5.51E-03,9.07E-02,-1.12E+00,6.99E-01,-4.60E-01
10,5,7.46E-01,-1.49E+00,1.04E+00,-7.60E-03,3.81E-02,-1.15E+00,4.86E-01,-5.84E-01
11,4.9,6.67E-01,-1.44E+00,9.97E-01,-9.09E-03,1.81E-02,-1.12E+00,3.40E-01,-6.43E-01
12,5.1,4.79E-01,-1.35E+00,1.01E+00,-9.65E-03,1.05E-02,-1.08E+00,3.16E-02,-7.60E-01
13,5.2,4.82E-01,-1.34E+00,9.38E-01,-9.76E-03,2.41E-02,-1.04E+00,2.53E-03,-7.57E-01
14,5,6.80E-01,-2.24E+00,2.76E+00,3.13E-02,2.45E-01,1.02E+00,-2.29E-02,-5.52E-01
15,5,7.47E-01,-2.26E+00,2.71E+00,3.05E-02,2.35E-01,1.02E+00,4.16E-02,-5.17E-01
16,4.9,7.18E-01,-1.96E+00,2.07E+00,1.53E-02,1.32E-01,3.27E-01,9.07E-02,-5.76E-01
17,5.3,7.49E-01,-1.76E+00,1.34E+00,4.59E-03,1.19E-01,-4.57E-02,1.44E-01,-5.85E-01
18,5.6,8.37E-01,-1.75E+00,6.55E-01,-1.50E-04,1.65E-01,1.24E-01,1.78E-01,-5.56E-01
19,5.3,7.73E-01,-1.70E+00,4.44E-01,-4.50E-03,1.25E-01,1.13E-01,6.06E-02,-6.17E-01
20,5,8.52E-01,-1.74E+00,2.31E-01,-7.17E-03,1.16E-01,8.58E-02,2.13E-01,-5.81E-01
21,5.2,8.37E-01,-1.73E+00,3.20E-02,-8.60E-03,1.28E-01,1.68E-01,1.24E-01,-5.98E-01
22,5,8.60E-01,-1.74E+00,-1.20E-01,-1.04E-02,1.21E-01,1.88E-01,1.58E-01,-5.94E-01
23,5.3,8.87E-01,-1.71E+00,-2.33E-01,-1.05E-02,1.48E-01,1.84E-01,1.77E-01,-5.75E-01
24,5.1,7.39E-01,-1.66E+00,-2.56E-01,-1.35E-02,9.25E-02,2.17E-01,-8.46E-02,-6.84E-01
25,5.4,8.52E-01,-1.68E+00,-4.03E-01,-1.23E-02,1.49E-01,2.29E-01,7.89E-02,-6.05E-01
26,4.9,8.55E-01,-1.73E+00,-6.26E-01,-1.58E-02,1.13E-01,3.32E-01,7.54E-02,-6.28E-01
27,5.1,7.78E-01,-1.66E+00,-6.17E-01,-1.67E-02,1.01E-01,2.92E-01,-6.64E-02,-6.77E-01
28,5.1,7.94E-01,-1.66E+00,-6.62E-01,-1.73E-02,1.01E-01,2.75E-01,-3.53E-02,-6.69E-01
29,5.4,8.11E-01,-1.62E+00,-7.10E-01,-1.65E-02,1.34E-01,2.48E-01,-3.08E-02,-6.51E-01
30,5,9.16E-01,-1.72E+00,-8.47E-01,-1.81E-02,1.19E-01,2.80E-01,1.78E-01,-5.98E-01
31,5.3,9.50E-01,-1.69E+00,-8.60E-01,-1.69E-02,1.56E-01,2.39E-01,2.19E-01,-5.66E-01
32,5.3,9.42E-01,-1.68E+00,-9.02E-01,-1.76E-02,1.52E-01,2.31E-01,2.03E-01,-5.74E-01
33,5.1,8.69E-01,-1.47E+00,8.19E-01,-1.08E-02,2.60E-02,-1.25E+00,6.39E-01,-5.23E-01
34,9.9,5.56E-01,-7.23E-01,8.62E-01,1.56E-02,4.58E-01,-1.11E+00,2.62E-01,4.42E-01
35,5,6.09E-01,-1.31E+00,8.46E-01,-1.45E-02,-5.04E-02,-1.22E+00,1.44E-01,-7.07E-01
36,5.3,5.93E-01,-1.27E+00,7.92E-01,-1.46E-02,-3.63E-02,-1.21E+00,9.00E-02,-7.16E-01
37,5.5,6.46E-01,-1.23E+00,7.63E-01,-1.68E-02,-8.26E-02,-1.19E+00,3.08E-02,-7.05E-01
38,5.2,7.59E-01,-2.21E+00,2.76E+00,2.96E-02,2.02E-01,1.03E+00,-2.76E-02,-5.23E-01
39,4.9,6.18E-01,-1.86E+00,2.01E+00,1.19E-02,9.36E-02,1.93E-01,-6.71E-02,-6.48E-01
40,5.2,5.83E-01,-1.88E+00,2.12E+00,1.59E-02,1.44E-01,3.22E-01,-1.16E-01,-6.52E-01
41,4.7,6.37E-01,-1.73E+00,1.15E+00,-1.02E-03,3.61E-02,3.90E-02,-8.32E-02,-6.91E-01
42,5.3,6.76E-01,-1.66E+00,6.77E-01,-3.62E-03,9.26E-02,1.08E-01,-1.18E-01,-6.76E-01
43,5.3,6.60E-01,-1.62E+00,3.99E-01,-7.31E-03,8.10E-02,1.14E-01,-1.73E-01,-7.03E-01
44,5.3,6.21E-01,-1.61E+00,1.68E-01,-9.28E-03,8.91E-02,2.02E-01,-2.65E-01,-7.37E-01
45,5.3,7.11E-01,-1.62E+00,-3.06E-03,-1.09E-02,9.31E-02,1.73E-01,-1.34E-01,-6.89E-01
46,5.1,7.00E-01,-1.65E+00,-2.42E-01,-1.33E-02,8.59E-02,2.95E-01,-1.61E-01,-7.13E-01
47,5.3,7.47E-01,-1.62E+00,-3.05E-01,-1.36E-02,1.00E-01,2.46E-01,-1.12E-01,-6.82E-01
48,5.2,6.94E-01,-1.60E+00,-4.13E-01,-1.57E-02,7.93E-02,2.87E-01,-2.20E-01,-7.27E-01
49,5.3,7.07E-01,-1.63E+00,-5.03E-01,-1.40E-02,1.42E-01,2.60E-01,-1.27E-01,-6.98E-01
50,5.3,7.23E-01,-1.64E+00,-7.11E-01,-1.55E-02,1.50E-01,3.62E-01,-1.33E-01,-7.01E-01
51,5.1,8.12E-01,-1.65E+00,-7.00E-01,-1.81E-02,9.32E-02,2.60E-01,-2.76E-02,-6.63E-01
52,5.3,5.91E-01,-1.51E+00,-6.72E-01,-1.97E-02,6.16E-02,2.94E-01,-4.55E-01,-8.07E-01
53,5,4.87E-01,-1.47E+00,-6.48E-01,-2.25E-02,-3.96E-04,2.66E-01,-5.97E-01,-8.88E-01
54,5.2,5.19E-01,-1.47E+00,-7.36E-01,-2.16E-02,4.00E-02,2.78E-01,-5.44E-01,-8.60E-01
55,5.3,5.85E-01,-1.48E+00,-7.61E-01,-2.10E-02,6.29E-02,2.27E-01,-4.24E-01,-8.13E-01
56,5.4,7.62E-01,-1.55E+00,-8.60E-01,-1.97E-02,1.11E-01,1.88E-01,-1.10E-01,-6.94E-01
57,5,6.83E-01,-1.49E+00,-4.10E-01,-2.05E-02,2.30E-02,-2.18E-01,-7.47E-02,-7.33E-01
58,5.2,5.38E-01,-1.26E+00,8.27E-01,-1.44E-02,-3.39E-02,-1.25E+00,5.47E-02,-7.43E-01
