,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
1,5.2,4.32E-01,1.40E+00,-9.77E-01,-3.85E-03,1.95E-01,2.41E-01,-6.26E-01,-1.92E-01
2,5.1,3.99E-01,1.34E+00,-1.16E+00,-4.13E-03,2.15E-01,3.44E-01,-6.27E-01,-1.80E-01
3,5.4,4.02E-01,1.27E+00,-1.23E+00,-3.14E-03,2.57E-01,3.86E-01,-6.09E-01,-1.77E-01
4,5.4,3.99E-01,1.25E+00,-1.25E+00,-3.62E-03,2.54E-01,3.59E-01,-6.11E-01,-1.76E-01
5,5.4,3.91E-01,1.21E+00,-1.28E+00,-4.18E-03,2.52E-01,3.55E-01,-6.18E-01,-1.76E-01
6,5.3,3.77E-01,1.18E+00,-1.35E+00,-4.85E-03,2.46E-01,3.96E-01,-6.25E-01,-1.79E-01
7,5.2,3.74E-01,1.18E+00,-1.34E+00,-5.51E-03,2.32E-01,3.64E-01,-6.32E-01,-1.79E-01
8,5.4,3.77E-01,1.13E+00,-1.36E+00,-5.32E-03,2.52E-01,3.36E-01,-6.24E-01,-1.76E-01
9,5.4,5.45E-01,1.78E+00,2.30E-01,-7.42E-03,3.53E-02,-1.13E+00,-6.72E-01,-1.49E-01
10,5,4.87E-01,1.80E+00,2.21E-01,-8.48E-03,1.36E-02,-1.16E+00,-7.10E-01,-2.02E-01
11,4.9,4.75E-01,1.75E+00,1.49E-01,-9.00E-03,1.64E-02,-1.12E+00,-7.15E-01,-2.03E-01
12,5.1,4.45E-01,1.70E+00,9.39E-02,-8.05E-03,5.21E-02,-1.08E+00,-7.15E-01,-2.67E-01
13,5.2,4.43E-01,1.66E+00,2.43E-02,-7.73E-03,7.18E-02,-1.04E+00,-7.04E-01,-2.67E-01
14,5,7.49E-01,3.37E+00,1.11E+00,2.80E-02,2.34E-01,1.02E+00,-4.96E-01,-2.46E-01
15,5,7.72E-01,3.35E+00,1.09E+00,2.72E-02,2.17E-01,1.02E+00,-4.91E-01,-1.82E-01
16,4.9,6.85E-01,2.77E+00,7.11E-01,1.37E-02,1.29E-01,3.28E-01,-5.65E-01,-1.90E-01
17,5.3,6.02E-01,2.21E+00,2.27E-01,5.03E-03,1.31E-01,-4.39E-02,-5.99E-01,-1.83E-01
18,5.6,5.39E-01,1.84E+00,-3.00E-01,2.62E-03,1.91E-01,1.27E-01,-5.95E-01,-1.84E-01
19,5.3,5.01E-01,1.71E+00,-4.97E-01,-2.17E-04,1.76E-01,1.18E-01,-6.14E-01,-1.87E-01
20,5,4.70E-01,1.61E+00,-6.31E-01,-2.82E-03,1.52E-01,8.91E-02,-6.35E-01,-1.90E-01
21,5.2,4.54E-01,1.50E+00,-8.14E-01,-3.03E-03,1.82E-01,1.73E-01,-6.25E-01,-1.91E-01
22,5,4.33E-01,1.43E+00,-9.31E-01,-4.40E-03,1.76E-01,1.93E-01,-6.34E-01,-1.93E-01
23,5.3,4.31E-01,1.35E+00,-1.00E+00,-4.31E-03,2.02E-01,1.89E-01,-6.25E-01,-1.90E-01
24,5.1,4.10E-01,1.32E+00,-1.10E+00,-5.62E-03,1.87E-01,2.26E-01,-6.37E-01,-1.94E-01
25,5.4,4.13E-01,1.24E+00,-1.15E+00,-4.99E-03,2.22E-01,2.35E-01,-6.22E-01,-1.90E-01
26,4.9,3.71E-01,1.17E+00,-1.36E+00,-7.34E-03,1.96E-01,3.40E-01,-6.46E-01,-1.98E-01
27,5.1,3.71E-01,1.13E+00,-1.38E+00,-7.56E-03,2.04E-01,3.02E-01,-6.43E-01,-1.96E-01
28,5.1,3.65E-01,1.10E+00,-1.40E+00,-8.13E-03,2.00E-01,2.84E-01,-6.47E-01,-1.96E-01
29,5.4,3.73E-01,1.04E+00,-1.42E+00,-7.44E-03,2.32E-01,2.58E-01,-6.32E-01,-1.91E-01
30,5,3.47E-01,1.04E+00,-1.50E+00,-9.42E-03,1.94E-01,2.87E-01,-6.56E-01,-1.98E-01
31,5.3,3.60E-01,1.00E+00,-1.48E+00,-8.53E-03,2.23E-01,2.45E-01,-6.40E-01,-1.93E-01
32,5.3,3.55E-01,9.73E-01,-1.51E+00,-8.99E-03,2.23E-01,2.37E-01,-6.43E-01,-1.93E-01
33,5.1,5.04E-01,1.65E+00,1.03E-01,-1.18E-02,-1.36E-02,-1.26E+00,-7.11E-01,-1.52E-01
34,9.9,3.60E-01,1.03E+00,5.05E-01,1.17E-02,4.07E-01,-1.11E+00,3.24E-01,-1.06E-02
35,5,5.00E-01,1.58E+00,4.04E-03,-1.28E-02,-1.84E-02,-1.22E+00,-7.12E-01,-1.69E-01
36,5.3,5.00E-01,1.52E+00,-4.26E-02,-1.25E-02,4.28E-03,-1.21E+00,-7.03E-01,-1.67E-01
37,5.5,5.75E-01,1.48E+00,-7.75E-02,-1.42E-02,-3.22E-02,-1.18E+00,-6.80E-01,-6.80E-02
38,5.2,8.28E-01,3.34E+00,1.12E+00,2.65E-02,1.92E-01,1.03E+00,-4.74E-01,-1.47E-01
39,4.9,6.67E-01,2.66E+00,6.39E-01,1.13E-02,1.16E-01,1.97E-01,-5.78E-01,-1.88E-01
40,5.2,6.65E-01,2.74E+00,7.11E-01,1.50E-02,1.68E-01,3.26E-01,-5.60E-01,-2.51E-01
41,4.7,5.65E-01,2.11E+00,-6.77E-03,1.67E-03,8.90E-02,4.42E-02,-6.22E-01,-2.07E-01
42,5.3,5.34E-01,1.81E+00,-3.61E-01,7.79E-04,1.62E-01,1.15E-01,-6.03E-01,-2.02E-01
43,5.3,4.99E-01,1.63E+00,-5.89E-01,-1.56E-03,1.67E-01,1.22E-01,-6.14E-01,-2.04E-01
44,5.3,4.60E-01,1.51E+00,-7.99E-01,-2.14E-03,1.96E-01,2.13E-01,-6.20E-01,-1.90E-01
45,5.3,4.56E-01,1.42E+00,-8.93E-01,-3.88E-03,1.86E-01,1.81E-01,-6.21E-01,-2.05E-01
46,5.1,4.08E-01,1.33E+00,-1.11E+00,-5.06E-03,1.91E-01,3.05E-01,-6.39E-01,-1.95E-01
47,5.3,4.22E-01,1.27E+00,-1.13E+00,-5.47E-03,1.99E-01,2.56E-01,-6.26E-01,-2.08E-01
48,5.2,4.03E-01,1.20E+00,-1.25E+00,-6.49E-03,1.98E-01,2.99E-01,-6.33E-01,-2.10E-01
49,5.3,3.54E-01,1.17E+00,-1.29E+00,-5.17E-03,2.49E-01,2.71E-01,-6.37E-01,-2.41E-01
50,5.3,3.30E-01,1.06E+00,-1.46E+00,-5.83E-03,2.63E-01,3.73E-01,-6.42E-01,-2.43E-01
51,5.1,3.74E-01,1.07E+00,-1.43E+00,-8.85E-03,1.93E-01,2.69E-01,-6.42E-01,-2.11E-01
52,5.3,3.72E-01,1.00E+00,-1.50E+00,-8.36E-03,2.22E-01,3.09E-01,-6.31E-01,-2.10E-01
53,5,3.51E-01,1.00E+00,-1.53E+00,-1.03E-02,1.82E-01,2.83E-01,-6.57E-01,-2.14E-01
54,5.2,3.41E-01,9.50E-01,-1.57E+00,-9.52E-03,2.16E-01,2.95E-01,-6.52E-01,-1.95E-01
55,5.3,3.46E-01,9.33E-01,-1.55E+00,-9.54E-03,2.22E-01,2.42E-01,-6.49E-01,-1.93E-01
56,5.4,3.49E-01,9.13E-01,-1.54E+00,-9.64E-03,2.26E-01,1.98E-01,-6.47E-01,-1.91E-01
57,5,3.71E-01,1.10E+00,-1.15E+00,-1.23E-02,1.23E-01,-2.10E-01,-6.86E-01,-1.89E-01
58,5.2,4.74E-01,1.53E+00,-1.94E-02,-1.23E-02,1.07E-02,-1.25E+00,-7.10E-01,-2.31E-01
59,5.3,5.07E-01,1.48E+00,-6.98E-02,-1.32E-02,-2.49E-03,-1.21E+00,-7.01E-01,-1.82E-01
60,5.3,4.24E-01,1.45E+00,-1.41E-01,-1.15E-02,5.98E-02,-1.19E+00,-7.16E-01,-2.79E-01
61,5.1,4.09E-01,1.43E+00,-2.02E-01,-1.27E-02,4.19E-02,-1.19E+00,-7.25E-01,-2.82E-01
