,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
1,8.9,-9.49E-03,-3.39E+00,3.10E-02,3.85E-03,1.75E-01,-7.98E-02,6.13E-02,-1.24E+00
2,8.7,-5.44E-02,-3.40E+00,-1.33E-01,3.89E-02,1.71E-01,-7.73E-02,2.79E-02,-1.32E+00
3,8.8,-3.69E-03,-3.38E+00,-2.35E-01,7.39E-02,1.79E-01,-7.88E-02,3.11E-02,-1.40E+00
4,8.8,-2.62E-02,-3.35E+00,-2.40E-01,7.74E-02,1.77E-01,-7.92E-02,3.16E-02,-1.37E+00
5,8.8,-1.90E-02,-3.36E+00,-2.91E-01,1.03E-01,1.79E-01,-8.03E-02,3.44E-02,-1.38E+00
6,9,-6.57E-02,-3.33E+00,-3.34E-01,1.10E-01,1.86E-01,-8.53E-02,7.27E-02,-1.39E+00
7,8.8,-1.00E-01,-3.32E+00,-3.13E-01,1.16E-01,1.78E-01,-8.54E-02,3.50E-02,-1.35E+00
8,9,-5.59E-02,-3.30E+00,-3.67E-01,1.25E-01,1.86E-01,-8.62E-02,7.45E-02,-1.36E+00
9,9,-8.72E-02,-3.10E+00,1.21E+00,-3.10E-01,1.10E-01,-6.84E-02,3.26E-02,-2.33E-01
10,8.9,-2.83E-01,-3.11E+00,1.28E+00,-3.05E-01,1.29E-01,-9.98E-02,-1.28E-02,-2.03E-01
11,9.1,-3.60E-01,-3.09E+00,1.25E+00,-2.63E-01,1.80E-01,-1.54E-01,1.53E-02,-2.38E-01
12,8.8,-5.36E-01,-3.07E+00,1.33E+00,-1.99E-01,4.48E+00,-5.36E+00,-1.54E+00,6.41E-02
13,8.9,-5.02E-01,-3.00E+00,1.21E+00,-2.06E-01,3.73E-01,-3.85E-01,-8.53E-02,-3.29E-01
14,8.8,-4.65E-01,-3.54E+00,2.95E+00,-8.51E-01,2.63E-01,-1.68E-01,-1.24E-01,-1.45E+00
15,8.8,-4.30E-01,-3.59E+00,2.92E+00,-8.18E-01,3.09E-01,-2.22E-01,-1.35E-01,-1.46E+00
16,8.9,-3.86E-01,-3.39E+00,2.29E+00,-6.05E-01,1.89E-01,-1.14E-01,-6.96E-02,-1.03E+00
17,9,-2.41E-01,-3.17E+00,1.56E+00,-4.36E-01,1.30E-01,-5.64E-02,1.02E-02,-8.25E-01
18,8.8,-1.67E-01,-3.19E+00,9.25E-01,-2.33E-01,1.44E-01,-6.19E-02,-5.15E-03,-1.05E+00
19,8.8,-2.24E-01,-3.18E+00,7.20E-01,-1.65E-01,1.43E-01,-6.58E-02,3.53E-03,-1.03E+00
20,8.8,-1.83E-01,-3.25E+00,5.18E-01,-1.16E-01,1.45E-01,-6.92E-02,1.06E-02,-1.02E+00
21,8.9,-1.83E-01,-3.23E+00,3.36E-01,-5.91E-02,1.52E-01,-7.20E-02,1.67E-02,-1.12E+00
22,8.8,-1.78E-01,-3.26E+00,1.90E-01,-1.91E-02,1.54E-01,-7.41E-02,2.15E-02,-1.13E+00
23,8.8,-1.45E-01,-3.24E+00,9.17E-02,2.10E-02,1.64E-01,-8.03E-02,2.41E-02,-1.18E+00
24,8.8,-2.57E-01,-3.18E+00,6.12E-02,4.14E-02,1.59E-01,-8.13E-02,2.65E-02,-1.16E+00
25,8.7,-1.66E-01,-3.20E+00,-6.65E-02,8.12E-02,1.68E-01,-8.29E-02,3.02E-02,-1.23E+00
26,8.8,-1.89E-01,-3.28E+00,-2.83E-01,1.29E-01,1.70E-01,-8.60E-02,3.70E-02,-1.27E+00
27,8.7,-2.33E-01,-3.20E+00,-2.74E-01,1.45E-01,1.69E-01,-8.64E-02,3.81E-02,-1.25E+00
28,8.8,-2.22E-01,-3.21E+00,-3.15E-01,1.57E-01,1.70E-01,-8.73E-02,3.99E-02,-1.25E+00
