,SMS.I.1..2..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1,8.9,5.69E-01,4.39E-01,-1.40E+00,6.32E-02,2.12E-02,2.21E-01,2.77E-01,-9.40E-02
2,8.7,5.42E-01,2.81E-01,-1.52E+00,2.71E-02,3.93E-02,3.21E-01,2.52E-01,-8.20E-02
3,8.8,5.37E-01,1.88E-01,-1.56E+00,2.97E-02,3.76E-02,3.63E-01,2.39E-01,-8.27E-02
4,8.8,5.35E-01,1.61E-01,-1.55E+00,3.13E-02,2.90E-02,3.40E-01,2.39E-01,-8.20E-02
5,8.8,5.25E-01,1.14E-01,-1.56E+00,3.10E-02,3.46E-02,3.34E-01,2.43E-01,-8.13E-02
6,9,5.25E-01,4.39E-02,-1.59E+00,7.17E-02,3.22E-02,3.82E-01,2.29E-01,-8.20E-02
7,8.8,5.19E-01,4.99E-02,-1.58E+00,3.23E-02,3.56E-02,3.46E-01,2.37E-01,-8.16E-02
8,9,5.19E-01,-1.08E-03,-1.57E+00,7.42E-02,1.73E-02,3.24E-01,2.32E-01,-8.04E-02
9,9,6.31E-01,1.42E+00,-5.94E-01,7.38E-02,-2.80E-01,-1.11E+00,4.75E-01,-4.41E-02
10,8.9,5.88E-01,1.42E+00,-5.95E-01,3.90E-02,-3.05E-01,-1.13E+00,5.00E-01,-9.03E-02
11,9.1,5.91E-01,1.33E+00,-6.18E-01,8.03E-02,-3.11E-01,-1.09E+00,5.02E-01,-8.96E-02
12,8.8,5.49E-01,1.26E+00,-6.65E-01,4.16E-02,-2.98E-01,-1.05E+00,5.17E-01,-1.54E-01
13,8.9,5.51E-01,1.20E+00,-7.02E-01,4.51E-02,-3.07E-01,-1.01E+00,4.99E-01,-1.56E-01
14,8.8,8.32E-01,3.29E+00,-9.46E-01,-5.52E-02,2.38E-01,9.11E-01,4.54E-01,-1.60E-01
15,8.8,8.57E-01,3.26E+00,-9.51E-01,-5.66E-02,2.51E-01,9.03E-01,4.35E-01,-9.66E-02
16,8.9,7.85E-01,2.54E+00,-8.52E-01,-2.44E-02,7.75E-02,2.62E-01,4.43E-01,-9.49E-02
17,9,7.06E-01,1.79E+00,-9.04E-01,3.97E-02,-2.35E-02,-7.83E-02,4.20E-01,-8.55E-02
18,8.8,6.45E-01,1.20E+00,-1.14E+00,1.01E-02,9.31E-03,9.15E-02,3.63E-01,-9.00E-02
19,8.8,6.21E-01,9.64E-01,-1.20E+00,1.53E-02,4.53E-03,8.91E-02,3.46E-01,-8.99E-02
20,8.8,6.04E-01,8.05E-01,-1.24E+00,1.96E-02,-5.15E-03,6.68E-02,3.37E-01,-8.92E-02
21,8.9,5.93E-01,6.13E-01,-1.33E+00,2.44E-02,-2.61E-03,1.54E-01,3.06E-01,-9.18E-02
22,8.8,5.77E-01,4.85E-01,-1.38E+00,2.52E-02,9.65E-03,1.74E-01,2.97E-01,-9.26E-02
23,8.8,5.67E-01,3.85E-01,-1.40E+00,2.77E-02,5.99E-03,1.70E-01,2.90E-01,-9.24E-02
24,8.8,5.59E-01,2.93E-01,-1.44E+00,2.90E-02,1.26E-02,2.09E-01,2.80E-01,-9.34E-02
25,8.7,5.47E-01,2.07E-01,-1.47E+00,2.95E-02,2.04E-02,2.14E-01,2.75E-01,-9.38E-02
26,8.8,5.33E-01,1.74E-02,-1.57E+00,3.25E-02,3.43E-02,3.25E-01,2.49E-01,-9.63E-02
27,8.7,5.26E-01,-2.26E-02,-1.56E+00,3.33E-02,3.08E-02,2.86E-01,2.51E-01,-9.55E-02
28,8.8,5.23E-01,-5.94E-02,-1.57E+00,3.52E-02,2.20E-02,2.72E-01,2.49E-01,-9.50E-02
29,8.7,5.17E-01,-1.09E-01,-1.57E+00,7.40E-02,2.24E-02,2.43E-01,2.48E-01,-9.43E-02
30,8.7,5.12E-01,-1.68E-01,-1.60E+00,7.47E-02,2.85E-02,2.76E-01,2.41E-01,-9.52E-02
31,8.6,5.06E-01,-1.76E-01,-1.59E+00,3.65E-02,2.44E-02,2.29E-01,2.48E-01,-9.43E-02
32,8.6,5.01E-01,-2.22E-01,-1.60E+00,3.77E-02,2.17E-02,2.23E-01,2.45E-01,-9.41E-02
33,8.5,6.02E-01,1.23E+00,-6.07E-01,3.79E-02,-2.85E-01,-1.24E+00,4.98E-01,-4.08E-02
34,13.42,5.20E-01,1.13E+00,-2.26E-01,6.16E-02,-7.26E-01,-9.96E-01,-7.80E-02,-5.52E-02
35,8.2,5.92E-01,1.11E+00,-6.50E-01,3.40E-02,-2.45E-01,-1.21E+00,4.94E-01,-5.82E-02
36,8.1,5.88E-01,1.05E+00,-6.81E-01,3.36E-02,-2.34E-01,-1.21E+00,5.02E-01,-5.84E-02
37,8.1,6.59E-01,9.91E-01,-6.71E-01,2.77E-02,-1.91E-01,-1.19E+00,4.64E-01,3.58E-02
38,8,8.89E-01,3.28E+00,-9.53E-01,-7.29E-02,3.47E-01,8.82E-01,4.51E-01,-6.68E-02
39,7.7,7.42E-01,2.41E+00,-8.82E-01,-3.37E-02,1.38E-01,1.02E-01,4.83E-01,-9.40E-02
40,7.8,7.31E-01,2.52E+00,-8.99E-01,-3.61E-02,1.49E-01,2.28E-01,4.95E-01,-1.60E-01
41,7.9,6.73E-01,1.57E+00,-1.04E+00,-1.01E-02,7.98E-02,-2.04E-02,4.26E-01,-1.06E-01
42,7.7,6.24E-01,1.13E+00,-1.19E+00,-4.01E-03,1.01E-01,4.61E-02,3.91E-01,-1.08E-01
43,7.7,5.97E-01,8.60E-01,-1.27E+00,2.21E-03,9.67E-02,5.95E-02,3.70E-01,-1.09E-01
44,7.7,5.65E-01,6.38E-01,-1.38E+00,6.69E-03,1.05E-01,1.52E-01,3.48E-01,-9.45E-02
45,7.7,5.66E-01,5.07E-01,-1.39E+00,1.01E-02,9.58E-02,1.26E-01,3.36E-01,-1.10E-01
46,7.7,5.35E-01,3.02E-01,-1.50E+00,1.34E-02,1.12E-01,2.53E-01,3.12E-01,-9.66E-02
47,7.7,5.41E-01,2.45E-01,-1.49E+00,1.46E-02,1.07E-01,2.03E-01,3.09E-01,-1.12E-01
48,7.8,5.30E-01,1.21E-01,-1.54E+00,1.65E-02,1.14E-01,2.48E-01,2.95E-01,-1.13E-01
49,7.5,4.72E-01,7.50E-02,-1.59E+00,2.11E-02,9.11E-02,2.22E-01,3.12E-01,-1.44E-01
50,7.7,4.58E-01,-1.08E-01,-1.66E+00,2.50E-02,9.70E-02,3.30E-01,2.91E-01,-1.46E-01
51,7.6,5.07E-01,-9.01E-02,-1.61E+00,2.08E-02,1.11E-01,2.21E-01,2.79E-01,-1.13E-01
52,7.6,4.99E-01,-1.82E-01,-1.65E+00,2.21E-02,1.18E-01,2.60E-01,2.69E-01,-1.14E-01
53,7.6,4.91E-01,-2.11E-01,-1.64E+00,2.22E-02,1.18E-01,2.37E-01,2.75E-01,-1.13E-01
54,7.3,4.67E-01,-2.71E-01,-1.67E+00,2.19E-02,1.28E-01,2.43E-01,2.78E-01,-9.72E-02
55,7.5,4.70E-01,-2.71E-01,-1.65E+00,2.52E-02,1.03E-01,1.96E-01,2.80E-01,-9.55E-02
56,7.4,4.65E-01,-2.79E-01,-1.63E+00,2.47E-02,1.03E-01,1.50E-01,2.86E-01,-9.47E-02
57,7.4,4.99E-01,7.34E-02,-1.38E+00,2.59E-02,1.80E-02,-2.46E-01,3.61E-01,-8.44E-02
58,7.1,5.46E-01,1.07E+00,-7.03E-01,2.51E-02,-1.89E-01,-1.27E+00,5.50E-01,-1.23E-01
59,7.2,5.76E-01,1.00E+00,-7.10E-01,2.25E-02,-1.64E-01,-1.24E+00,5.30E-01,-7.55E-02
60,7,4.92E-01,9.33E-01,-7.74E-01,2.93E-02,-1.94E-01,-1.21E+00,5.57E-01,-1.71E-01
61,7,4.87E-01,8.80E-01,-7.99E-01,3.03E-02,-1.93E-01,-1.21E+00,5.49E-01,-1.72E-01
62,6.7,1.68E+00,2.96E+00,-7.63E-01,-1.69E-01,9.69E-01,7.80E-01,1.01E-01,1.02E+00
63,6.8,8.20E-01,3.10E+00,-1.04E+00,-7.92E-02,4.03E-01,8.11E-01,4.88E-01,-1.32E-01
64,7.1,7.24E-01,2.32E+00,-9.48E-01,-3.99E-02,1.90E-01,1.22E-01,4.96E-01,-9.60E-02
