,SMS.I.1..8..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1,0,-2.49E+00,-9.17E-01,-1.68E+00,-3.22E+00,-1.55E-01,-9.60E-01,8.02E-01,1.65E-01
2,0,-2.32E+00,-9.02E-01,-1.60E+00,-3.01E+00,-4.52E-01,-9.68E-01,8.71E-01,2.42E-01
3,0,-2.27E+00,-9.43E-01,-1.57E+00,-3.00E+00,-5.46E-01,-9.69E-01,9.18E-01,2.71E-01
4,0,-2.49E+00,-1.06E+00,-1.57E+00,-3.03E+00,-2.83E-01,-9.11E-01,9.16E-01,1.97E-01
5,0,-2.59E+00,-1.09E+00,-1.51E+00,-2.92E+00,-2.07E-01,-8.77E-01,9.19E-01,1.52E-01
6,0,-2.46E+00,-1.22E+00,-1.53E+00,-3.16E+00,-4.20E-01,-9.34E-01,1.07E+00,2.09E-01
7,0,-2.55E+00,-1.13E+00,-1.45E+00,-2.81E+00,-3.24E-01,-8.63E-01,9.70E-01,1.82E-01
8,0,-2.43E+00,-1.20E+00,-1.53E+00,-3.16E+00,-4.36E-01,-9.29E-01,1.05E+00,2.39E-01
9,0,-2.39E+00,-1.10E+00,-1.54E+00,-3.00E+00,-4.00E-01,-8.65E-01,1.06E+00,2.54E-01
10,0,-1.70E+00,1.03E+00,-2.40E+00,-2.92E+00,1.50E-01,-1.07E+00,2.63E-01,5.77E-02
11,0,-9.01E-01,2.08E+00,-2.83E+00,-2.94E+00,4.52E-02,-1.06E+00,-1.24E-01,3.74E-01
12,0,-5.12E-01,2.16E+00,-2.86E+00,-3.08E+00,-3.21E-01,-1.08E+00,1.84E-01,4.85E-01
13,0,-2.74E-01,2.26E+00,-2.82E+00,-2.91E+00,-5.88E-01,-1.06E+00,3.37E-01,5.52E-01
14,0,-1.40E-01,2.25E+00,-2.76E+00,-2.70E+00,-8.91E-01,-1.10E+00,2.62E-01,6.57E-01
15,0,-1.11E-01,2.13E+00,-2.74E+00,-2.86E+00,-1.06E+00,-1.20E+00,1.95E-01,7.08E-01
16,8.9,-4.43E-01,3.11E+00,-2.54E-01,1.14E-01,-1.51E+00,1.81E+00,-1.50E+00,5.42E-01
17,0,-7.66E-01,1.18E+00,-2.32E+00,-2.71E+00,-1.17E+00,-1.29E+00,-1.34E-01,7.29E-01
18,0,-1.69E+00,5.14E-02,-1.87E+00,-2.65E+00,-7.63E-01,-1.11E+00,3.25E-01,4.24E-01
19,0,-2.11E+00,-2.21E-01,-1.80E+00,-2.78E+00,-3.35E-01,-1.03E+00,3.80E-01,2.66E-01
20,0,-2.33E+00,-4.40E-01,-1.76E+00,-2.88E+00,-1.31E-01,-9.74E-01,4.69E-01,1.92E-01
21,0,-2.45E+00,-5.97E-01,-1.70E+00,-2.79E+00,-8.26E-02,-9.21E-01,5.55E-01,1.61E-01
22,0,-2.50E+00,-6.56E-01,-1.59E+00,-2.58E+00,-1.15E-01,-8.80E-01,6.07E-01,1.38E-01
23,0,-2.58E+00,-7.77E-01,-1.56E+00,-2.64E+00,-5.78E-02,-8.60E-01,6.67E-01,1.15E-01
24,0,-2.63E+00,-8.50E-01,-1.51E+00,-2.57E+00,-6.64E-02,-8.37E-01,7.20E-01,1.03E-01
25,0,-2.64E+00,-9.09E-01,-1.48E+00,-2.56E+00,-8.77E-02,-8.27E-01,7.62E-01,1.03E-01
26,0,-2.60E+00,-1.04E+00,-1.44E+00,-2.60E+00,-2.30E-01,-8.36E-01,8.91E-01,1.25E-01
27,0,-2.64E+00,-1.04E+00,-1.42E+00,-2.54E+00,-1.96E-01,-8.17E-01,8.85E-01,1.16E-01
28,0,-2.63E+00,-1.07E+00,-1.36E+00,-2.47E+00,-2.49E-01,-8.02E-01,9.10E-01,1.23E-01
29,0,-2.36E+00,-1.04E+00,-1.37E+00,-2.47E+00,-6.07E-01,-8.55E-01,9.77E-01,2.51E-01
30,0,-2.38E+00,-1.17E+00,-1.31E+00,-2.45E+00,-6.70E-01,-8.46E-01,1.09E+00,2.35E-01
31,0,-2.26E+00,-1.08E+00,-1.33E+00,-2.44E+00,-7.81E-01,-8.65E-01,1.04E+00,3.03E-01
32,0,-2.31E+00,-1.15E+00,-1.34E+00,-2.51E+00,-7.23E-01,-8.53E-01,1.07E+00,2.93E-01
33,0,-2.36E+00,-9.62E-01,-1.39E+00,-2.42E+00,-4.77E-01,-7.83E-01,1.03E+00,2.24E-01
34,0,-1.40E+00,1.21E+00,-2.31E+00,-2.45E+00,-2.44E-01,-1.06E+00,2.16E-01,1.89E-01
35,0,-7.37E-01,2.12E+00,-2.64E+00,-2.44E+00,-4.15E-01,-1.13E+00,-3.22E-01,4.91E-01
36,0,-4.91E-01,2.13E+00,-2.63E+00,-2.44E+00,-7.40E-01,-1.17E+00,-2.25E-01,5.97E-01
37,0,-2.62E-01,2.18E+00,-2.60E+00,-2.34E+00,-1.06E+00,-1.21E+00,-1.88E-01,6.91E-01
