,SMS.I.1..8..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1,0,-2.71E+00,1.59E-01,-1.78E+00,-2.81E+00,-1.38E+00,-3.51E-01,9.12E-01,1.77E-01
2,0,-2.28E+00,2.34E-01,-1.28E+00,-2.94E+00,-1.14E+00,-4.42E-01,1.02E+00,1.58E-01
3,0,-2.57E+00,-1.31E-01,-1.83E+00,-2.62E+00,-1.05E+00,-5.13E-01,1.13E+00,1.45E-01
4,0,-2.81E+00,9.50E-02,-1.57E+00,-2.75E+00,-1.24E+00,-3.87E-01,1.06E+00,-4.59E-03
5,0,-2.95E+00,-7.22E-02,-1.73E+00,-2.52E+00,-1.20E+00,-2.43E-01,9.95E-01,1.79E-01
6,0,-2.94E+00,-2.93E-01,-1.88E+00,-2.72E+00,-1.19E+00,-3.56E-01,1.22E+00,6.63E-02
7,0,-2.97E+00,-1.61E-01,-1.72E+00,-2.43E+00,-1.09E+00,-2.80E-01,1.07E+00,9.33E-02
8,0,-2.79E+00,-2.07E-01,-1.70E+00,-2.83E+00,-1.19E+00,-3.61E-01,1.18E+00,1.34E-01
9,0,-2.64E+00,-1.45E-01,-1.64E+00,-2.71E+00,-1.12E+00,-2.57E-01,1.14E+00,2.23E-01
10,0,-1.05E+00,1.65E+00,-2.37E+00,-2.29E+00,-1.42E+00,-5.21E-01,4.14E-01,-7.08E-02
11,0,2.04E-01,2.29E+00,-2.72E+00,-2.23E+00,-1.39E+00,-8.88E-01,1.86E-01,2.44E-01
12,0,9.31E-01,2.36E+00,-2.30E+00,-2.70E+00,-1.27E+00,-9.22E-01,5.06E-01,1.78E-01
13,0,1.32E+00,2.30E+00,-2.14E+00,-2.67E+00,-1.02E+00,-9.66E-01,6.96E-01,2.43E-01
14,0,1.66E+00,2.29E+00,-1.76E+00,-2.70E+00,-7.67E-01,-1.15E+00,6.98E-01,3.38E-01
15,0,1.68E+00,2.16E+00,-1.76E+00,-2.89E+00,-7.61E-01,-1.32E+00,7.01E-01,3.77E-01
16,8.9,1.63E+00,2.12E+00,-1.83E-01,3.66E-01,1.11E+00,-9.21E-01,-8.48E-01,-4.53E-01
17,0,3.73E-01,1.43E+00,-1.71E+00,-2.67E+00,-6.56E-01,-1.58E+00,4.91E-01,4.36E-01
18,0,-1.49E+00,5.28E-01,-1.96E+00,-2.28E+00,-7.99E-01,-1.03E+00,7.53E-01,2.30E-01
19,0,-2.15E+00,3.75E-01,-2.18E+00,-2.19E+00,-1.06E+00,-6.81E-01,6.35E-01,3.22E-01
20,0,-2.33E+00,4.95E-01,-1.82E+00,-2.45E+00,-1.24E+00,-4.91E-01,6.26E-01,2.71E-01
21,0,-2.49E+00,3.93E-01,-1.73E+00,-2.39E+00,-1.21E+00,-3.64E-01,6.60E-01,3.05E-01
22,0,-2.57E+00,3.99E-01,-1.53E+00,-2.27E+00,-1.10E+00,-3.38E-01,7.07E-01,2.08E-01
23,0,-2.71E+00,3.04E-01,-1.56E+00,-2.31E+00,-1.15E+00,-2.44E-01,7.22E-01,2.45E-01
24,0,-2.81E+00,2.86E-01,-1.48E+00,-2.28E+00,-1.12E+00,-2.32E-01,7.78E-01,1.49E-01
25,0,-2.85E+00,2.44E-01,-1.44E+00,-2.29E+00,-1.11E+00,-2.21E-01,8.20E-01,1.35E-01
26,0,-2.87E+00,1.09E-01,-1.39E+00,-2.37E+00,-1.05E+00,-2.56E-01,9.77E-01,3.72E-02
27,0,-2.92E+00,8.39E-02,-1.41E+00,-2.30E+00,-1.03E+00,-2.07E-01,9.45E-01,8.05E-02
28,0,-2.64E+00,1.45E-01,-1.03E+00,-2.45E+00,-9.62E-01,-1.16E-01,9.05E-01,2.57E-01
29,0,-2.22E+00,1.95E-01,-7.21E-01,-2.69E+00,-8.01E-01,-3.61E-01,1.10E+00,1.22E-01
30,0,-2.21E+00,1.01E-01,-5.98E-01,-2.77E+00,-7.56E-01,-2.57E-01,1.14E+00,6.99E-02
31,0,-1.82E+00,3.19E-01,-1.73E-01,-3.01E+00,-7.10E-01,-3.69E-01,1.14E+00,1.50E-01
32,0,-2.43E+00,-1.09E-01,-1.05E+00,-2.57E+00,-7.45E-01,-4.05E-01,1.23E+00,5.30E-02
33,0,-2.23E+00,1.09E-01,-9.46E-01,-2.50E+00,-8.04E-01,-1.52E-01,1.04E+00,2.93E-01
34,0,-7.61E-01,1.36E+00,-2.59E+00,-1.75E+00,-9.47E-01,-7.00E-01,4.65E-01,6.38E-02
35,0,6.44E-01,2.21E+00,-2.24E+00,-2.03E+00,-9.01E-01,-1.15E+00,8.44E-02,3.95E-01
36,0,1.37E+00,2.44E+00,-1.44E+00,-2.54E+00,-7.49E-01,-1.27E+00,2.21E-01,4.58E-01
37,0,1.59E+00,2.25E+00,-1.53E+00,-2.44E+00,-5.16E-01,-1.45E+00,3.61E-01,4.90E-01
38,0,1.43E+00,1.91E+00,-1.25E+00,-2.69E+00,-4.14E-01,-1.62E+00,4.39E-01,5.95E-01
39,0,1.26E+00,1.64E+00,-1.09E+00,-2.82E+00,-3.65E-01,-1.57E+00,5.23E-01,6.74E-01
40,0,6.97E-01,9.75E-01,-1.17E+00,-3.09E+00,-4.22E-01,-1.58E+00,8.24E-01,6.99E-01
