,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,2.8,-2.65E+00,-2.08E+00,-1.10E-01,-2.44E+00,2.57E+00,6.10E-01,3.00E-02,4.50E-01
2,2.8,-2.28E+00,-1.77E+00,-2.00E-02,-2.37E+00,2.34E+00,1.00E+00,4.00E-02,4.30E-01
3,2.8,-2.46E+00,-2.12E+00,-1.30E-01,-2.20E+00,2.52E+00,4.80E-01,3.00E-02,4.50E-01
4,2.8,-2.69E+00,-2.10E+00,-5.00E-02,-2.31E+00,2.42E+00,7.90E-01,4.00E-02,4.40E-01
5,2.8,-2.84E+00,-2.29E+00,-1.50E-01,-2.14E+00,2.48E+00,4.00E-01,2.00E-02,4.40E-01
6,2.8,-2.76E+00,-2.43E+00,-2.00E-01,-2.14E+00,2.61E+00,4.80E-01,3.00E-02,4.60E-01
7,2.8,-2.67E+00,-2.13E+00,-2.00E-02,-2.10E+00,2.30E+00,8.90E-01,6.00E-02,4.20E-01
8,2.8,-2.60E+00,-2.26E+00,-1.30E-01,-2.19E+00,2.52E+00,8.00E-01,4.00E-02,4.60E-01
9,2.8,-2.50E+00,-2.16E+00,-9.00E-02,-2.16E+00,2.45E+00,6.90E-01,4.00E-02,4.50E-01
10,2.8,-1.52E+00,-4.40E-01,2.30E-01,-3.46E+00,2.47E+00,-7.00E-02,2.00E-02,4.20E-01
11,2.8,-6.10E-01,3.90E-01,3.80E-01,-4.01E+00,2.60E+00,-5.40E-01,1.00E-02,4.30E-01
12,2.8,3.00E-02,7.90E-01,4.60E-01,-4.10E+00,2.54E+00,2.00E-02,3.00E-02,4.40E-01
13,2.8,3.50E-01,9.50E-01,4.60E-01,-3.98E+00,2.47E+00,2.00E-02,2.00E-02,4.30E-01
14,2.8,6.30E-01,1.12E+00,5.20E-01,-3.88E+00,2.28E+00,2.10E-01,1.00E-02,4.10E-01
15,2.8,6.90E-01,1.05E+00,4.60E-01,-3.87E+00,2.34E+00,3.60E-01,2.00E-02,4.20E-01
16,2.8,5.60E-01,8.90E-01,4.00E-01,-3.73E+00,2.31E+00,2.10E-01,2.00E-02,4.00E-01
17,2.8,-2.60E-01,9.00E-02,2.70E-01,-3.29E+00,2.27E+00,3.60E-01,2.00E-02,4.00E-01
18,2.8,-1.67E+00,-1.22E+00,3.00E-02,-2.60E+00,2.35E+00,1.50E-01,2.00E-02,4.10E-01
19,2.8,-2.23E+00,-1.62E+00,-8.00E-02,-2.51E+00,2.48E+00,-1.00E-02,2.00E-02,4.20E-01
20,2.8,-2.41E+00,-1.66E+00,-4.00E-02,-2.55E+00,2.41E+00,3.40E-01,2.00E-02,4.20E-01
21,2.8,-2.50E+00,-1.79E+00,-1.00E-02,-2.44E+00,2.34E+00,4.00E-01,2.00E-02,4.20E-01
22,2.8,-2.58E+00,-1.76E+00,0.00E+00,-2.32E+00,2.21E+00,4.60E-01,1.00E-02,4.10E-01
23,2.8,-2.68E+00,-1.89E+00,-3.00E-02,-2.27E+00,2.25E+00,4.70E-01,1.00E-02,4.10E-01
24,2.8,-2.79E+00,-1.95E+00,-3.00E-02,-2.21E+00,2.22E+00,4.60E-01,0.00E+00,4.10E-01
25,2.8,-2.81E+00,-1.98E+00,-3.00E-02,-2.17E+00,2.20E+00,5.10E-01,0.00E+00,4.10E-01
26,2.8,-2.82E+00,-2.09E+00,-7.00E-02,-2.09E+00,2.23E+00,5.30E-01,1.00E-02,4.10E-01
27,2.8,-2.86E+00,-2.12E+00,-8.00E-02,-2.05E+00,2.21E+00,4.70E-01,0.00E+00,4.10E-01
28,2.8,-2.59E+00,-1.86E+00,-2.00E-02,-2.02E+00,2.05E+00,9.30E-01,0.00E+00,4.00E-01
29,2.8,-2.19E+00,-1.61E+00,9.00E-02,-2.07E+00,1.93E+00,1.36E+00,2.00E-02,3.90E-01
30,2.8,-2.18E+00,-1.66E+00,7.00E-02,-1.98E+00,1.90E+00,1.43E+00,2.00E-02,3.90E-01
31,2.8,-1.87E+00,-1.34E+00,1.60E-01,-2.08E+00,1.76E+00,1.86E+00,2.00E-02,3.80E-01
32,2.8,-2.35E+00,-1.95E+00,-2.00E-02,-1.93E+00,2.09E+00,9.50E-01,2.00E-02,4.10E-01
33,2.8,-2.20E+00,-1.68E+00,5.00E-02,-2.01E+00,2.00E+00,1.04E+00,0.00E+00,4.00E-01
34,2.8,-1.27E+00,-4.70E-01,1.50E-01,-3.15E+00,2.40E+00,-7.00E-01,-4.00E-02,4.20E-01
35,2.8,-2.30E-01,6.50E-01,3.90E-01,-3.73E+00,2.25E+00,-4.00E-01,-7.00E-02,4.20E-01
36,2.8,3.70E-01,1.16E+00,5.30E-01,-3.82E+00,2.01E+00,4.30E-01,-3.00E-02,3.90E-01
37,2.8,5.70E-01,1.14E+00,4.80E-01,-3.68E+00,2.04E+00,2.10E-01,-7.00E-02,4.10E-01
38,2.8,5.30E-01,8.90E-01,4.30E-01,-3.47E+00,2.00E+00,5.60E-01,-1.00E-02,3.80E-01
39,2.8,4.30E-01,6.50E-01,3.70E-01,-3.27E+00,2.01E+00,7.10E-01,0.00E+00,3.80E-01
40,2.9,1.00E-01,-2.00E-02,1.90E-01,-2.99E+00,2.20E+00,8.80E-01,3.00E-02,4.00E-01
41,2.8,-2.40E-01,-2.40E-01,1.90E-01,-2.70E+00,2.03E+00,8.60E-01,1.00E-02,3.90E-01
42,2.8,-5.20E-01,-4.90E-01,1.60E-01,-2.56E+00,2.02E+00,9.30E-01,2.00E-02,3.90E-01
43,2.8,-1.06E+00,-1.14E+00,-6.00E-02,-2.31E+00,2.32E+00,2.10E-01,2.00E-02,4.10E-01
44,2.9,-1.01E+00,-9.80E-01,8.00E-02,-2.33E+00,2.08E+00,7.90E-01,2.00E-02,3.90E-01
45,2.9,-1.03E+00,-1.08E+00,4.00E-02,-2.22E+00,2.10E+00,7.70E-01,2.00E-02,4.00E-01
46,2.9,-1.40E+00,-1.38E+00,-3.00E-02,-2.17E+00,2.19E+00,8.00E-01,3.00E-02,4.10E-01
47,2.9,-1.55E+00,-1.15E+00,2.20E-01,-2.27E+00,1.85E+00,1.70E+00,6.00E-02,3.80E-01
48,2.9,-2.16E+00,-1.57E+00,1.40E-01,-2.15E+00,1.95E+00,1.24E+00,4.00E-02,3.90E-01
49,2.8,-2.55E+00,-1.93E+00,6.00E-02,-2.09E+00,2.10E+00,9.30E-01,5.00E-02,4.00E-01
50,2.8,-2.52E+00,-1.84E+00,1.10E-01,-1.99E+00,1.91E+00,1.09E+00,-1.60E-01,5.10E-01
51,2.9,-2.45E+00,-1.77E+00,1.30E-01,-2.01E+00,1.89E+00,1.24E+00,-2.00E-02,4.20E-01
